language,n,teleki_irr_mean,embedding_irr_mean,teleki_vs_embedding_pearson,teleki_vs_embedding_spearman
AR,10.0,0.5143903335882215,0.9377023100852966,0.30276257909951765,0.09090909090909088
CS,10.0,0.38459501775793364,0.9268826842308044,0.16489025967915338,0.11515151515151514
DE,10.0,0.4736409019409509,0.9104281544685364,-0.14594667437284842,-0.309090909090909
ES,10.0,0.34006002449228967,0.7783215522766114,0.7230977401295308,0.8060606060606059
FR,10.0,0.3796474461117002,0.8854715943336486,0.2740788481793965,0.10303030303030303
HI,10.0,0.654299597445892,0.9179491102695465,0.6244689458275774,0.49090909090909085
IT,10.0,0.5250710009757144,0.9281815469264985,0.24092843161792155,-0.006060606060606061
ZH,10.0,0.4414908441256647,0.9114894688129425,0.5919442364793055,0.5515151515151515
